city,timestamp,aqi,co,no2,o3,so2,pm2_5,pm10,temperature,humidity,collection_status
Hyderabad,2025-01-13 14:14:43,5,907.9,32.9,78.68,32.42,83.41,96.22,23.19,60,success
Jaipur,2025-01-13 14:14:45,5,1214.98,40.78,50.78,11.56,96.92,110.95,14.6,77,success
Patna,2025-01-13 14:14:47,5,1134.87,17.99,80.11,8.7,190.23,209.03,19.97,64,success
Delhi,2025-01-13 15:16:21,5,1428.6,41.47,46.49,15.14,124.32,171.93,14.06,88,success
Mumbai,2025-01-13 15:16:23,5,1001.36,30.16,113.01,33.38,119.64,151.02,26.03,65,success
Chennai,2025-01-13 15:16:26,3,547.41,11.31,82.25,8.46,31.82,41.13,25.68,87,success
Kolkata,2025-01-13 15:16:28,5,6248.47,189.19,0.03,108.72,569.6,737.02,19.96,73,success
Bengaluru,2025-01-13 15:16:30,2,560.76,19.02,50.07,6.38,14.43,16.39,21.08,86,success
Ahmedabad,2025-01-13 15:16:33,4,934.6,39.76,42.92,7.75,55.85,70.88,18.04,52,success
Lucknow,2025-01-13 15:16:35,5,921.25,15.25,66.52,3.93,121.64,141.83,15.6,60,success
Hyderabad,2025-01-13 15:16:37,5,947.95,31.19,80.82,33.85,94.93,109.35,22.19,64,success
Jaipur,2025-01-13 15:16:40,5,1054.76,32.9,55.79,8.7,91.19,104.93,14.6,77,success
Patna,2025-01-13 15:16:42,5,1188.28,17.48,79.39,8.94,209.09,228.79,18.97,68,success
Delhi,2025-01-13 16:19:13,5,1335.14,35.99,44.35,13.59,118.28,163.1,13.06,94,success
Mumbai,2025-01-13 16:19:15,5,1388.55,41.13,90.84,39.58,142.07,184.98,26.03,65,success
Chennai,2025-01-13 16:19:18,3,547.41,10.11,82.97,8.58,35.92,47.69,25.73,89,success
Kolkata,2025-01-13 16:19:20,5,9399.41,252.25,0,141.14,821.14,1009.58,18.96,77,success
Bengaluru,2025-01-13 16:19:23,2,560.76,17.14,47.92,6.62,14.32,16.55,20.76,88,success
Ahmedabad,2025-01-13 16:19:25,4,1028.06,44.55,30.04,7.33,58.2,75.75,18.04,48,success
Lucknow,2025-01-13 16:19:28,5,894.55,14.22,62.94,3.76,117.16,136.64,13.01,94,success
Hyderabad,2025-01-13 16:19:30,5,961.3,28.1,89.41,33.38,102.08,117.48,21.19,68,success
Jaipur,2025-01-13 16:19:32,5,988.01,28.1,59.37,6.91,90.38,104.18,13.6,82,success
Patna,2025-01-13 16:19:35,5,1241.68,16.45,78.68,8.82,224.42,244.54,17.97,77,success
Delhi,2025-01-13 17:13:29,5,1268.39,32.9,40.77,12.16,111.45,153.93,12.06,94,success
Mumbai,2025-01-13 17:13:31,5,2056.12,58.95,60.8,47.68,183.48,243.99,27.03,57,success
Chennai,2025-01-13 17:13:33,3,547.41,9.34,82.25,8.11,38.44,52.69,25.49,90,success
Kolkata,2025-01-13 17:13:35,5,11215.21,279.67,0,144.96,1001.57,1195.84,18.96,77,success
Bengaluru,2025-01-13 17:13:37,2,554.09,15.08,45.78,6.68,13.05,15.31,20.59,89,success
Ahmedabad,2025-01-13 17:13:39,4,1081.47,45.93,22.71,6.86,60.54,81.62,18.04,52,success
Lucknow,2025-01-13 17:13:42,5,881.2,13.37,60.08,3.58,113.71,132.21,12.01,100,success
Hyderabad,2025-01-13 17:13:44,5,974.66,28.1,95.84,33.38,107.81,124.1,20.68,77,success
Jaipur,2025-01-13 17:13:46,5,1041.41,27.76,54.36,6.32,95.29,109.9,11.6,94,success
Patna,2025-01-13 17:13:48,5,1268.39,16.28,73.67,8.58,230.86,251.17,16.97,82,success
Delhi,2025-01-13 18:21:03,5,1121.52,29.13,38.98,9.66,99.67,134.7,12.06,94,success
Mumbai,2025-01-13 18:21:05,5,2563.48,74.03,37.19,52.93,217.01,288.21,26,61,success
Chennai,2025-01-13 18:21:08,3,540.73,9,81.54,7.33,38.55,53.43,25.62,91,success
Kolkata,2025-01-13 18:21:10,5,11856.08,282.41,0,122.07,1089.48,1279.93,18.96,77,success
Bengaluru,2025-01-13 18:21:12,2,547.41,13.88,46.49,6.56,10.4,12.37,20.59,89,success
Ahmedabad,2025-01-13 18:21:15,4,1054.76,41.13,21.1,5.78,62.1,84.79,16.04,59,success
Lucknow,2025-01-13 18:21:17,5,854.49,12.17,60.08,3.19,111.42,127.34,12.01,100,success
Hyderabad,2025-01-13 18:21:19,5,947.95,27.76,97.28,32.42,109.36,125.45,20.68,77,success
Jaipur,2025-01-13 18:21:22,5,1001.36,25.36,53.64,5.07,94.9,108.93,10.6,93,success
Patna,2025-01-13 18:21:24,5,1268.39,16.45,65.8,8.11,227.92,247.51,16.97,82,success
Delhi,2025-01-13 19:13:10,5,974.66,24.68,38.27,7.63,86.66,110.97,11.06,100,success
Mumbai,2025-01-13 19:13:12,5,2723.69,79.51,24.68,51.98,225.72,296,26.03,53,success
Chennai,2025-01-13 19:13:14,3,507.36,8.14,80.82,6.38,37.21,50.74,25.47,92,success
Kolkata,2025-01-13 19:13:16,5,11001.59,252.25,0,79.16,1040.43,1223.1,17.96,82,success
Bengaluru,2025-01-13 19:13:19,1,534.06,12.51,49.35,6.38,8.16,9.74,19.99,91,success
Ahmedabad,2025-01-13 19:13:21,4,934.6,30.5,27.18,4.41,59.65,79.25,15.04,63,success
Lucknow,2025-01-13 19:13:23,5,827.79,10.88,60.8,2.74,109.34,122.35,12.01,100,success
Hyderabad,2025-01-13 19:13:25,5,854.49,25.71,94.41,28.61,106.42,121.75,19.68,82,success
